Author-year,AgS,ReT,SA (m2/g),Metal,AIC (mg/L),Temp,pH,rpm,Adc,Qm (µg/g),Aged condition,Solution- added agent,Note,Unnamed: 14
"(Qiongjie et al., 2022)",Virgin,PS,,Cu (II),3.34,25.0,6.0,,Mixed,14.4756,,Pb,Pb(II) = 0.005 mmol/L,
"(Qiongjie et al., 2022)",Virgin,PS,,Cu (II),3.34,25.0,6.0,,Mixed,13.1719,,Pb,Pb(II) = 0.01 mmol/L,
"(Qiongjie et al., 2022)",Virgin,PS,,Cu (II),3.34,25.0,6.0,,Mixed,9.2151,,Pb,Pb(II) = 0.05 mmol/L,
"(Qiongjie et al., 2022)",Virgin,PS,,Cu (II),3.34,25.0,6.0,,Mixed,7.8111,,Pb,Pb(II) = 0.1 mmol/L,
"(Qiongjie et al., 2022)",Virgin,PS,,Pb (II),10.88,25.0,6.0,,Single-ion,23.8335,,,Cu(II) = 0,
"(Qiongjie et al., 2022)",Virgin,PS,,Pb (II),10.88,25.0,6.0,,Mixed,20.1289,,Cu,Cu(II) = 0.005 mmol/L,
"(Qiongjie et al., 2022)",Virgin,PS,,Pb (II),10.88,25.0,6.0,,Mixed,19.0987,,Cu,Cu(II) = 0.01 mmol/L,
"(Qiongjie et al., 2022)",Virgin,PS,,Pb (II),10.88,25.0,6.0,,Mixed,13.9557,,Cu,Cu(II) = 0.05 mmol/L,
"(Qiongjie et al., 2022)",Virgin,PS,,Pb (II),10.88,25.0,6.0,,Mixed,11.7943,,Cu,Cu(II) = 0.1 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Cu (II),3.34,25.0,6.0,,Single-ion,19.8878,Lab: UV,,Pb(II) = 0,UV-PS
"(Qiongjie et al., 2022)",Aged,PS,,Cu (II),3.34,25.0,6.0,,Mixed,16.7497,,Pb,Pb(II) = 0.005 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Cu (II),3.34,25.0,6.0,,Mixed,15.2978,,Pb,Pb(II) = 0.01 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Cu (II),3.34,25.0,6.0,,Mixed,11.463,,Pb,Pb(II) = 0.05 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Cu (II),3.34,25.0,6.0,,Mixed,10.4185,,Pb,Pb(II) = 0.1 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Pb (II),10.88,25.0,6.0,,Single-ion,26.6819,,,Cu(II) = 0,
"(Qiongjie et al., 2022)",Aged,PS,,Pb (II),10.88,25.0,6.0,,Mixed,22.4351,,Cu,Cu(II) = 0.005 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Pb (II),10.88,25.0,6.0,,Mixed,21.4646,,Cu,Cu(II) = 0.01 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Pb (II),10.88,25.0,6.0,,Mixed,15.8741,,Cu,Cu(II) = 0.05 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Pb (II),10.88,25.0,6.0,,Mixed,13.0727,,Cu,Cu(II) = 0.1 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Cu (II),3.34,25.0,6.0,,Single-ion,31.4048,"Lab: wastewater, aeration",,Pb(II) = 0,Bio-PS
"(Qiongjie et al., 2022)",Aged,PS,,Cu (II),3.34,25.0,6.0,,Mixed,30.5924,,Pb,Pb(II) = 0.005 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Cu (II),3.34,25.0,6.0,,Mixed,29.3424,,Pb,Pb(II) = 0.01 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Cu (II),3.34,25.0,6.0,,Mixed,28.5197,,Pb,Pb(II) = 0.05 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Cu (II),3.34,25.0,6.0,,Mixed,28.3158,,Pb,Pb(II) = 0.1 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Pb (II),10.88,25.0,6.0,,Single-ion,43.8846,,,Cu(II) = 0,
"(Qiongjie et al., 2022)",Aged,PS,,Pb (II),10.88,25.0,6.0,,Mixed,41.7861,,Cu,Cu(II) = 0.005 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Pb (II),10.88,25.0,6.0,,Mixed,38.3453,,Cu,Cu(II) = 0.01 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Pb (II),10.88,25.0,6.0,,Mixed,34.5489,,Cu,Cu(II) = 0.05 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Pb (II),10.88,25.0,6.0,,Mixed,25.2635,,Cu,Cu(II) = 0.1 mmol/L,
"(Qiu et al., 2022)",Virgin,PVC,1.20788,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,9.5,,,,
"(Qiu et al., 2022)",Aged,PVC,1.55175,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,167.4,"Lab: Sulfur, anaerobiosis",,,
"(Qiu et al., 2022)",Virgin,PET,0.92286,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,6.6,,,,
"(Qiu et al., 2022)",Aged,PET,0.83792,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,35.7,"Lab: Sulfur, anaerobiosis",,,
"(Qiu et al., 2022)",Virgin,PS,0.67877,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,4.9,,,,
"(Qiu et al., 2022)",Aged,PS,1.15927,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,44.1,"Lab: Sulfur, anaerobiosis",,,
"(Qiu et al., 2022)",Virgin,PE,1.4443,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,6.9,,,,
"(Qiu et al., 2022)",Aged,PE,1.70373,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,15.9,"Lab: Sulfur, anaerobiosis",,,
"(Qiu et al., 2022)",Virgin,PP,0.52987,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,6.8,,,,
"(Qiu et al., 2022)",Aged,PP,1.29385,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,38.2,"Lab: Sulfur, anaerobiosis",,,
"(Qiu et al., 2022)",Virgin,PA,0.19879,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,16.7,,,,
"(Qiu et al., 2022)",Aged,PA,0.48535,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,244.6,"Lab: Sulfur, anaerobiosis",,,
"(Sathyamoorthy et al., 2022)",Virgin,PE,,Cu (II),13.5,30.0,5.0,160.0,Single-ion,1230.0,,,,
"(Sun et al., 2022)",Virgin,PLA,,Cu (II),7.6,,,150.0,Single-ion,151.802,,,P-PLA,
"(Sun et al., 2022)",Aged,PLA,,Cu (II),,,,,Single-ion,1045.67,Lab: Wastewater,,S-PLA,
"(Tang et al., 2022)",Virgin,PA,,Cu (II),7.6,25.0,,185.0,Single-ion,146.0,,,,
"(Tang et al., 2022)",Virgin,PA,,Cd (II),7.6,25.0,,185.0,Single-ion,136.0,,,,
"(Tang et al., 2022)",Virgin,PA,,Pb (II),7.6,25.0,,185.0,Single-ion,767.0,,,,
(Wang_Wang 2022),Virgin,PVC,,Pb (II),,25.0,6.0,150.0,Single-ion,4930.0,,,,Sorption behavior of Pb(II)
(Wang_Wang 2022),Virgin,PVC,,Pb (II),,35.0,6.0,150.0,Single-ion,4150.0,,,,
(Wang_Wang 2022),Virgin,PVC,,Pb (II),,45.0,6.0,150.0,Single-ion,4740.0,,,,
(Wang_Qui 2022),Virgin,PS,0.47,Cd (II),20.25,25.0,,140.0,Single-ion,162.0,,,PS,Adsorption of tetracycline and Cd(II) on polystyrene 
(Wang_Qui 2022),Aged,PS,0.98,Cd (II),20.25,25.0,,140.0,Single-ion,219.0,Lab: UV,,UVPS,
(Wang_Qui 2022),Aged,PS,2.79,Cd (II),20.25,25.0,,140.0,Single-ion,274.0,Lab: H2O2,,HOPS,
(Wang_Qui 2022),Virgin,PS,0.47,Cd (II),20.25,25.0,,140.0,Mixed,154.0,,tetracycline,PS,
(Wang_Qui 2022),Aged,PS,0.98,Cd (II),20.25,25.0,,140.0,Mixed,246.0,Lab: UV,tetracycline,UVPS,
(Wang_Qui 2022),Aged,PS,2.79,Cd (II),20.25,25.0,,140.0,Mixed,290.0,Lab: H2O2,tetracycline,HOPS,
(Wang_Qui 2022),Virgin,PET,0.17,Cd (II),20.25,25.0,,140.0,Single-ion,197.0,,,PET,
(Wang_Qui 2022),Aged,PET,1.01,Cd (II),20.25,25.0,,140.0,Single-ion,252.0,Lab: UV,,UVPET,
(Wang_Qui 2022),Aged,PET,2.56,Cd (II),20.25,25.0,,140.0,Single-ion,379.0,Lab: H2O2,,HOPET,
(Wang_Qui 2022),Virgin,PET,0.17,Cd (II),20.25,25.0,,140.0,Mixed,200.0,,tetracycline,PET,
(Wang_Qui 2022),Aged,PET,1.01,Cd (II),20.25,25.0,,140.0,Mixed,313.0,Lab: UV,tetracycline,UVPET,
(Wang_Qui 2022),Aged,PET,2.56,Cd (II),20.25,25.0,,140.0,Mixed,392.0,Lab: H2O2,tetracycline,HOPET,
"(Zhao et al., 2022)",Aged,PBT,0.263,Cd (II),,25.0,,180.0,Single-ion,3880.0,Lab: UV,,,
"(Zhao et al., 2022)",Aged,PBT,0.263,Cd (II),,35.0,,180.0,Single-ion,7120.0,Lab: UV,,,
"(Zhao et al., 2022)",Aged,PBT,0.263,Cd (II),,45.0,,180.0,Single-ion,10100.0,Lab: UV,,,
(Zhou_chen 2022),Virgin,PP,,Cu (II),102.5,25.0,,200.0,Single-ion,11.01,,,PPw (CK),Changes in metal adsorption
(Zhou_chen 2022),Aged,PP,,Cu (II),102.5,25.0,,200.0,Single-ion,6.85,Nature: air-sun,,PPw-30d,
(Zhou_chen 2022),Aged,PP,,Cu (II),102.5,25.0,,200.0,Single-ion,2.73,Nature: air-sun,,PPw-60d,
(Zhou_chen 2022),Aged,PP,,Cu (II),102.5,25.0,,200.0,Single-ion,1.35,Nature: air-sun,,PPw-120d,
(Zhou_chen 2022),Aged,PP,,Cu (II),102.5,25.0,,200.0,Single-ion,2.19,Nature: air-sun,,PPw-250d,
(Zhou_chen 2022),Virgin,PE,,Cu (II),102.5,25.0,,200.0,Single-ion,9.0,,,PEf-CK,
(Zhou_chen 2022),Aged,PE,,Cu (II),102.5,25.0,,200.0,Single-ion,6.34,Nature: air-sun,,Pef-30d,
(Zhou_chen 2022),Aged,PE,,Cu (II),102.5,25.0,,200.0,Single-ion,5.46,Nature: air-sun,,Pef-60d,
(Zhou_chen 2022),Aged,PE,,Cu (II),102.5,25.0,,200.0,Single-ion,2.26,Nature: air-sun,,Pef-90d,
(Zhou_chen 2022),Aged,PE,,Cu (II),102.5,25.0,,200.0,Single-ion,1.87,Nature: air-sun,,Pef-180d,
(Zhou_chen 2022),Aged,PE,,Cu (II),102.5,25.0,,200.0,Single-ion,1.05,Nature: air-sun,,Pef-250d,
(Zhou_Sun 2022),Aged,PS,,Cu (II),10.5,25.0,,150.0,Single-ion,8840.0,Lab: UV,,PS-CIP0,Adsorption behavior of Cu(II) 
(Zhou_Sun 2022),Aged,PS,,Cu (II),10.5,25.0,,150.0,Mixed,5010.0,Lab: UV,,PS-CIP2,
(Zhou_Sun 2022),Aged,PVC,,Cu (II),10.5,25.0,,150.0,Single-ion,5360.0,Lab: UV,,PVC-CIP0,
(Zhou_Sun 2022),Aged,PVC,,Cu (II),10.5,25.0,,150.0,Mixed,7330.0,Lab: UV,,PVC-CIP2,
(Zhou_Sun 2022),Aged,PS,,Cr (VI),10.5,25.0,,150.0,Mixed,3080.0,Lab: UV,,PS-CIP30,
(Zhou_Sun 2022),Aged,PVC,,Cr (VI),10.5,25.0,,150.0,Mixed,2520.0,Lab: UV,,PVC-CIP30,
"(Gao et al., 2023)",Aged,PA,,Hg (II),0.01025,,,200.0,Single-ion,11.8,Lab+Nature: H202-Sunlight,,,
"(Gao et al., 2023)",Aged,PE,,Hg (II),0.01025,,,200.0,Single-ion,8.3,Lab+Nature: H202-Sunlight,,,
"(Gao et al., 2023)",Aged,PET,,Hg (II),0.01025,,,200.0,Single-ion,7.6,Lab+Nature: H202-Sunlight,,,
"(Gao et al., 2023)",Aged,PVC,,Hg (II),0.01025,,,200.0,Single-ion,8.7,Lab+Nature: H202-Sunlight,,,
"(Gao et al., 2023)",Aged,PLA,,Hg (II),0.01025,,,200.0,Single-ion,11.4,Lab+Nature: H202-Sunlight,,,
"(Huang et al., 2023)",Virgin,PLA,4.91,Pb (II),15.5,25.0,5.0,,Single-ion,1173.0,,,,
"(Huang et al., 2023)",Aged,PLA,15.37,Pb (II),15.5,25.0,5.0,,Single-ion,1509.0,Lab: UV,,,
"(Huang et al., 2023)",Virgin,PS,3.16,Pb (II),15.5,25.0,5.0,,Single-ion,894.0,,,,
"(Huang et al., 2023)",Aged,PS,5.62,Pb (II),15.5,25.0,5.0,,Single-ion,1210.0,Lab: UV,,,
"(Sun et al., 2023)",Virgin,PBAT,,Cu (II),5.1,,5.5,200.0,Single-ion,140.547,,P-PBAT,Pristin,
"(Sun et al., 2023)",Aged,PBAT,,Cu (II),5.1,,5.5,200.0,Single-ion,172.065,Lab: Wastewater,D-PBAT,Biodegrated,
"(Wang et al., 2023)",Virgin,PVC,0.86,Pb (II),7.0,25.0,,180.0,Single-ion,1910.0,,,V-VPC+Pb,
"(Wang et al., 2023)",Virgin,PVC,1.495,Pb (II),7.0,25.0,,180.0,Mixed,2630.0,,HA,V-VPC+Pb+5mg/L HA,
"(Wang et al., 2023)",Virgin,PVC,1.495,Pb (II),7.0,25.0,,180.0,Mixed,3450.0,,HA,V-VPC+Pb+10mg/L HA,
"(Wang et al., 2023)",Virgin,PVC,1.495,Pb (II),7.0,25.0,,180.0,Mixed,4040.0,,HA,V-VPC+Pb+15mg/L HA,
"(Wang et al., 2023)",Aged,PVC,3.378,Pb (II),7.0,25.0,,180.0,Single-ion,4570.0,Lab: Wastewater,HA,Bio-PVC-Pb,
"(Wang et al., 2023)",Aged,PVC,2.877,Pb (II),7.0,25.0,,180.0,Mixed,4420.0,Lab: Wastewater,HA,Bio-PVC-Pb+5mg/L HA,
"(Wang et al., 2023)",Aged,PVC,2.877,Pb (II),7.0,25.0,,180.0,Mixed,4040.0,Lab: Wastewater,HA,Bio-PVC-Pb+10mg/L HA,
"(Wang et al., 2023)",Aged,PVC,2.877,Pb (II),7.0,25.0,,180.0,Mixed,3440.0,Lab: Wastewater,HA,Bio-PVC-Pb+15mg/L HA,
"(Yu et al., 2023)",Virgin,PLA,,Pb (II),30.0,25.0,5.0,100.0,Single-ion,889.54,,,RPLA,
"(Yu et al., 2023)",Aged,PLA,,Pb (II),30.0,25.0,5.0,100.0,Single-ion,1087.81,Lab: sludge-hydrothermal treatment,,PLA-110,
"(Yu et al., 2023)",Aged,PLA,,Pb (II),30.0,25.0,5.0,100.0,Single-ion,1453.54,Lab: sludge-hydrothermal treatment,,PLA-120,
"(Yu et al., 2023)",Aged,PLA,,Pb (II),30.0,25.0,5.0,100.0,Single-ion,1728.71,Lab: sludge-hydrothermal treatment,,PLA-130,
"(Yu et al., 2023)",Aged,PLA,,Pb (II),30.0,25.0,5.0,100.0,Single-ion,2089.02,Lab: sludge-hydrothermal treatment,,PLA-140,
"(Huang et al., 2024)",Virgin,PLA,,Cu (II),15.5,25.0,6.0,160.0,Single-ion,6085.0,,,PLA,
"(Huang et al., 2024)",Aged,PLA,,Cu (II),15.5,25.0,6.0,160.0,Single-ion,7132.0,Lab: UV,,aged-PLA,
"(Huang et al., 2024)",Virgin,PS,,Cu (II),15.5,25.0,6.0,160.0,Single-ion,365.0,,,PS,
"(Huang et al., 2024)",Aged,PS,,Cu (II),15.5,25.0,6.0,160.0,Single-ion,489.0,Lab: UV,,aged-PLA,
"(Li et al., 2024)",Virgin,PS,,Hg (II),10.25,25.0,7.0,,Single-ion,2.23,,,P-PS,
"(Li et al., 2024)",Virgin,PE,,Hg (II),10.25,25.0,7.0,,Single-ion,0.69,,,P-PE,
"(Li et al., 2024)",Virgin,PLA,,Hg (II),10.25,25.0,7.0,,Single-ion,12.54,,,P-PLA,
"(Li et al., 2024)",Aged,PS,,Hg (II),10.25,25.0,7.0,,Single-ion,15.61,Lab: O3 water,,A-PS,
"(Li et al., 2024)",Aged,PE,,Hg (II),10.25,25.0,7.0,,Single-ion,22.23,Lab: O3 water,,A-PE,
"(Li et al., 2024)",Aged,PLA,,Hg (II),10.25,25.0,7.0,,Single-ion,27.51,Lab: O3 water,,A-PLA,
"(Hu et al., 2024)",Virgin,PA,,Cu (II),10.5,25.0,5.0,200.0,Single-ion,964.0,,,,
"(Hu et al., 2024)",Aged,PA,,Cu (II),10.5,25.0,5.0,200.0,Single-ion,1415.0,Lab: UV,,,
"(Hu et al., 2024)",Virgin,PLA,,Cu (II),10.5,25.0,5.0,200.0,Single-ion,951.0,,,,
"(Hu et al., 2024)",Aged,PLA,,Cu (II),10.5,25.0,5.0,200.0,Single-ion,1398.0,Lab: UV,,,
"(Hu et al., 2024b)",Virgin,PA,0.5031,Cr (VI),10.5,,,200.0,Single-ion,1997.0,,,,Adsorption and Desorption Behavior of Cr(VI) 
"(Hu et al., 2024b)",Aged,PA,0.7248,Cr (VI),10.5,,,200.0,Single-ion,2192.0,Lab: UV,,,
"(Hu et al., 2024b)",Virgin,PLA,0.3835,Cr (VI),10.5,,,200.0,Single-ion,941.0,,,,
"(Hu et al., 2024b)",Aged,PLA,0.5691,Cr (VI),10.5,,,200.0,Single-ion,1103.0,Lab: UV,,,
"(Muthuraja et al., 2024)",Virgin,PP,,Cu (II),2.55,25.0,6.0,150.0,Single-ion,5167.0,,,Ppa: 500 and 1000 μm,
"(Muthuraja et al., 2024)",Virgin,PP,,Cu (II),2.55,25.0,6.0,150.0,Single-ion,1805.0,,,PPb: 250–500 μm,
"(Muthuraja et al., 2024)",Aged,PP,,Cu (II),2.55,25.0,6.0,150.0,Single-ion,4494.0,,,Aged PPb,
"(Muthuraja et al., 2024)",Virgin,PS,,Cu (II),2.55,25.0,6.0,150.0,Single-ion,4115.0,,,PSa: 500 and 1000 μm,
"(Muthuraja et al., 2024)",Virgin,PS,,Cu (II),2.55,25.0,6.0,150.0,Single-ion,3814.0,,,PSb: 250–500 μm,
"(Muthuraja et al., 2024)",Aged,PS,,Cu (II),2.55,25.0,6.0,150.0,Single-ion,4445.0,,,Aged PSb,
"(Muthuraja et al., 2024)",Virgin,PP,,Pb (II),2.55,25.0,6.0,150.0,Single-ion,7742.0,,,Ppa: 500 and 1000 μm,
"(Muthuraja et al., 2024)",Virgin,PP,,Pb (II),2.55,25.0,6.0,150.0,Single-ion,5838.0,,,PPb: 250–500 μm,
"(Muthuraja et al., 2024)",Aged,PP,,Pb (II),2.55,25.0,6.0,150.0,Single-ion,9405.0,,,Aged PPb,
"(Muthuraja et al., 2024)",Virgin,PS,,Pb (II),2.55,25.0,6.0,150.0,Single-ion,10979.0,,,PSa: 500 and 1000 μm,
"(Muthuraja et al., 2024)",Virgin,PS,,Pb (II),2.55,25.0,6.0,150.0,Single-ion,10414.0,,,PSb: 250–500 μm,
"(Muthuraja et al., 2024)",Aged,PS,,Pb (II),2.55,25.0,6.0,150.0,Single-ion,9263.0,,,Aged PSb,
"(Saravanakumar et al., 2024)",Virgin,PE,,Pb (II),,30.0,4.0,,Single-ion,3690.0,,,,
"(Chen et al., 2025)",Virgin,PBAT,,Cu (II),5.1,25.0,,180.0,Single-ion,4680.0,,,V-PPT,"70% PBAT, 5% PLA and 20% TPS"
"(Chen et al., 2025)",Virgin,PBAT,,Cu (II),,,,,Mixed,4120.0,,,V-PPT,
"(Chen et al., 2025)",Aged,PBAT,,Cu (II),5.1,25.0,,180.0,Single-ion,8990.0,Lab: (biofilm) real wastewater,,B-PPT,
"(Chen et al., 2025)",Aged,PBAT,,Cu (II),5.1,25.0,,180.0,Mixed,7180.0,Lab: (biofilm) real wastewater,,B-PPT,
"(Chen et al., 2025)",Aged,PBAT,,Cu (II),5.1,25.0,,180.0,Single-ion,1000.0,,,D-PPT,
"(Chen et al., 2025)",Aged,PBAT,,Cu (II),5.1,25.0,,180.0,Mixed,1200.0,Lab: biodegraded MP,,D-PPT,
"(Dai et al., 2025)",Virgin,PA,,Cu (II),10.1,25.0,,250.0,Single-ion,88.0,Lab: biodegraded MP,,PA,
"(Dai et al., 2025)",Aged,PA,,Cu (II),10.1,25.0,,250.0,Single-ion,964.0,Lab: distilled-water,,PA-D,
"(Dai et al., 2025)",Aged,PA,,Cu (II),10.1,25.0,,250.0,Single-ion,580.0,Lab: tap-water,,PA-T,
"(Dai et al., 2025)",Aged,PA,,Cu (II),10.1,25.0,,250.0,Single-ion,282.0,Lab: surface water,,PA-S,
"(Dai et al., 2025)",Aged,PA,,Cu (II),10.1,25.0,,250.0,Single-ion,1296.0,Lab: wastewater,,PA-W,
"(Dai et al., 2025)",Virgin,PLA,,Cu (II),10.1,25.0,,250.0,Single-ion,1443.0,,,PLA,
"(Dai et al., 2025)",Aged,PLA,,Cu (II),10.1,25.0,,250.0,Single-ion,2318.0,Lab: distilled-water,,PLA-D,
"(Dai et al., 2025)",Aged,PLA,,Cu (II),10.1,25.0,,250.0,Single-ion,1158.0,Lab: tap-water,,PLA-T,
"(Dai et al., 2025)",Aged,PLA,,Cu (II),10.1,25.0,,250.0,Single-ion,1207.0,Lab: surface water,,PLA-S,
"(Dai et al., 2025)",Aged,PLA,,Cu (II),10.1,25.0,,250.0,Single-ion,504.0,Lab: wastewater,,PLAW,
"(Jiang et al., 2025)",Virgin,PBS,,Cd (II),23.0,25.0,,200.0,Single-ion,2997.0,,,,
"(Jiang et al., 2025)",Virgin,PBS,,As (III),23.0,25.0,,200.0,Single-ion,2606.0,,,,
