iteration,cache_status,auto_retry_triggered,convergence_pass,pooled_mean,beta_metal[Cd (II)_vs_As (III)],beta_metal[Cr (VI)_vs_As (III)],beta_metal[Cu (II)_vs_As (III)],beta_metal[Hg (II)_vs_As (III)],beta_metal[Ni (II)_vs_As (III)],beta_metal[Pb (II)_vs_As (III)],beta_metal[Zn (II)_vs_As (III)],beta_polymer[PBAT_vs_PA],beta_polymer[PBS_vs_PA],beta_polymer[PBT_vs_PA],beta_polymer[PE_vs_PA],beta_polymer[PET_vs_PA],beta_polymer[PLA_vs_PA],beta_polymer[PP_vs_PA],beta_polymer[PS_vs_PA],beta_polymer[PVC_vs_PA],beta_polymer[nylon_vs_PA],beta_aging[Virgin_vs_Aged],beta_Temp,sigma_study,sigma_residual,beta_metal[Mn (II)_vs_As (III)],beta_polymer[PMMA_vs_PA],beta_polymer[TPU_vs_PA],beta_polymer[Mix_vs_HDPE],beta_polymer[PA_vs_HDPE],beta_polymer[PBAT_vs_HDPE],beta_polymer[PBS_vs_HDPE],beta_polymer[PBT_vs_HDPE],beta_polymer[PE_vs_HDPE],beta_polymer[PET_vs_HDPE],beta_polymer[PLA_vs_HDPE],beta_polymer[PMMA_vs_HDPE],beta_polymer[PP_vs_HDPE],beta_polymer[PS_vs_HDPE],beta_polymer[PVC_vs_HDPE],beta_polymer[nylon_vs_HDPE],beta_polymer[TPU_vs_HDPE],beta_polymer[PA_vs_Mix],beta_polymer[PBAT_vs_Mix],beta_polymer[PBS_vs_Mix],beta_polymer[PBT_vs_Mix],beta_polymer[PE_vs_Mix],beta_polymer[PET_vs_Mix],beta_polymer[PLA_vs_Mix],beta_polymer[PMMA_vs_Mix],beta_polymer[PP_vs_Mix],beta_polymer[PS_vs_Mix],beta_polymer[PVC_vs_Mix],beta_polymer[nylon_vs_Mix],beta_metal[Cr (VI)_vs_Cd (II)],beta_metal[Cu (II)_vs_Cd (II)],beta_metal[Hg (II)_vs_Cd (II)],beta_metal[Mn (II)_vs_Cd (II)],beta_metal[Ni (II)_vs_Cd (II)],beta_metal[Pb (II)_vs_Cd (II)],beta_metal[Zn (II)_vs_Cd (II)],beta_polymer[TPU_vs_Mix]
0,hit,False,True,5.19337508730121,-0.16104316336363536,-0.9778830449494769,-0.4366032345770433,-3.465805147117904,-1.5772421285251055,-0.06735363950406026,-1.0818019816896103,-1.4445176757649671,-1.0624810262155815,0.6244979375115823,-1.582401512260536,-1.154578775393035,0.4097519432560423,-1.2661868187578635,-1.3042788626873272,-0.904999483741249,-0.5840024423558421,-0.7463613138592982,0.07303948668420578,1.7720972446450427,0.5749235545266932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,hit,False,True,6.235574086541024,0.476387527071833,-0.3899541124582397,-0.11751017471648038,-2.5809911960616554,,1.0124588123591656,-0.5099975171311144,-0.5164894499946492,-1.581073831255504,0.2507824327087526,-1.6121097074520452,-1.7390524905063383,-0.011255976737943494,-1.5384849405424206,-1.3005673336622643,-1.303886018247631,-1.3851014624910791,-0.42580859821414757,0.0793866356922172,1.9431305932475678,0.653358362151278,0.03689554134552665,-0.5364861179818206,-0.52375621496526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,hit,False,True,5.8532754313511175,-0.052329628123070154,-0.7686066795774974,0.003508204318884212,-3.498203553216756,-0.15563927550827247,0.3799614129201042,-0.047575012609526575,,,,,,,,,,,-0.9293919147228205,0.08191594711525489,1.59485512406143,0.5483485381494915,,,,1.8721905593672938,1.742706927848473,-0.5601270272294352,1.0159698201714247,1.6698599659339144,-0.03641992259433826,0.21664963503297627,2.0030610993992224,1.0092896201986017,0.4250976945904786,0.20676556163563442,0.6899001890360072,-0.12866928772141176,,,,,,,,,,,,,,,,,,,,,
3,hit,False,True,5.491570965914766,0.159924566972561,-0.25778462554987275,0.2765722517301909,-2.4652589398999893,0.24512302802347863,0.72472017513248,0.25984037217538547,,,,,,,,,,,-0.41648075081931546,0.10489772153436915,1.923473042481227,0.589518448136699,0.545331480150163,,,,0.7399392727866059,0.4802429079800323,-0.035118873345793056,1.7571011169408997,-0.4804997109887383,-0.24919641163545672,0.8641229124386024,,-0.2899165580745739,-0.19124917659360857,0.20909817019871943,0.06783172029637509,0.3027745987346266,,,,,,,,,,,,,,,,,,,,
4,hit,False,True,5.673619432038601,-0.22703863400291546,-0.448727092383944,0.23803392086796749,-3.197526191620626,-0.9082237719232571,1.1784097503513895,-0.4268975361766219,,,,,,,,,,,-0.8247448784158372,0.08292748563558722,1.7561657116063216,0.5668275870488338,,,,,,,,,,,,,,,,,,0.26980660426582337,-1.2640980803111015,-1.364067206302751,1.0513874354145882,-1.0569236873516432,-0.8865208032971991,0.0552757889544049,-0.19357223820195085,-1.0587388092770207,-0.8875541910705139,-0.7125299565345933,-0.8892479877917,,,,,,,,
5,hit,False,True,5.613292745091788,-0.1406773050265192,-0.49469100607706534,-0.0455606985025928,-3.05031312325452,-0.3939221968516956,0.2723930438035513,-0.29018838062674296,,,,,,,,,,,-0.8026094355035789,0.12431655041149683,1.5354936871335345,0.5388100796406958,-0.26063698080233205,,,,1.5321702059537092,1.550351510637686,0.5396937099245056,1.8539292537752572,-0.15601114627440418,0.0695974727479704,0.5428181078612131,,0.38982737860230693,0.16387854652710845,0.7074441200279434,,0.23870790785128176,,,,,,,,,,,,,,,,,,,,
6,hit,False,True,5.818420041452533,0.25943219303413523,1.2004020673049782,0.22441704648154379,-3.4344431344204094,0.3776367369108076,0.673237786201705,0.2914941097160449,,,,,,,,,,,-0.7458712822046248,0.06721627796232607,1.3291024978183623,0.5390167606658651,0.10564750829112551,,,1.488900175948664,0.9612610232850026,0.15272273088614688,1.3591833850555637,1.489838671879704,-0.3153101506499383,-0.16539312151734697,1.5549685673367744,,-0.3091094168397372,-0.28190681061116213,0.47494128014525466,,-0.09974121076468717,,,,,,,,,,,,,,,,,,,,
7,hit,False,True,5.841795532796876,-0.08982713149477957,-0.31092656525254375,-0.15879440567399639,-3.3407159474948007,-0.057318731532807976,0.10443111502018501,-0.1823569281869186,,,,,,,,,,,-0.5559217040604425,0.05785777645293284,1.6317772039391985,0.5704579032708413,0.0032859910288679734,,,1.9624837100985286,1.566562780439214,0.4687554014520588,0.5021219326733481,1.4567456440374429,-0.0942442482792442,-0.5000239716558321,1.2216406911186852,0.7390596982030113,-0.1259773005650199,0.08454905519250777,-0.19790252608307074,0.11663976100935679,0.32748207095320475,,,,,,,,,,,,,,,,,,,,
8,hit,False,True,5.57495538637914,0.3765785251342825,-0.4942938932649305,0.0933048720908703,-2.4476853040385183,,0.47250491597597205,-0.3799602037682854,,,,,,,,,,,-0.5204554299480451,0.09116663551337009,1.5616616421540632,0.5710323492554519,0.547294113812006,,,1.6411155273761575,0.6226299022990913,0.18274736874715086,0.5059070236111349,1.6901388475125276,-0.37584648855899566,-0.06124497153683483,1.2321179749579472,,-0.3938456572398501,-0.49703679987645333,-0.31596109261498173,0.11003249103807082,0.2997602633669757,,,,,,,,,,,,,,,,,,,,
9,hit,False,True,5.600522914254453,,,,,,,,,,,,,,,,,,-0.6711668529446251,0.039674938853805956,1.3815851424052317,0.4925762136563896,,,,1.8645097492461027,0.9818565627656377,-0.6557584564193597,-0.8169834489999152,1.5735312593396389,-0.023174084811668383,0.090277635750951,1.3036773693536017,,0.02538014609529725,0.02538796492638111,0.5296416691384527,,0.1964533166172211,,,,,,,,,,,,,0.2563769874567828,0.04866151759780447,-3.860205213718205,0.08307069968176338,0.15308576614679317,0.3985138786037632,0.07670264867682322,
10,hit,False,True,5.388478714950283,0.02446329194197811,-0.7070910843627635,-0.003957993105112898,-2.4296382383491113,-0.10118070516617729,0.2599672700098453,-0.07755949581875637,,,,,,,,,,,-0.6046688607424026,0.07234468607913465,1.8377659682631147,0.5295199617434855,,,,,1.421930697464853,1.1007794379977516,1.166161143053716,,-0.696221068784715,-0.4734971773832832,1.505390765481953,0.5721840854147048,-0.35576597409022936,-0.3523888548122711,-0.442121714174498,,0.1348477413638664,,,,,,,,,,,,,,,,,,,,
11,hit,False,True,5.224597670446349,0.19280760310520115,0.712667118563404,0.11768964644890645,-3.1404180583020183,0.27956375533217465,0.47855927692394196,0.23944063319414868,,,,,,,,,,,-0.5104198527860643,0.04693416998742435,1.7966663879583586,0.5196931285137697,0.5151501033382545,,,,,,,,,,,,,,,,,0.5106189047672968,-0.31237435736490404,-0.7397188719083803,,-1.4242620028988004,-1.6364127180293568,0.34483403026715903,-0.5209274166158218,-1.6363043193913442,-1.749448980305382,-1.746917963006594,,,,,,,,,-0.4016998347561198
12,hit,False,True,5.501967604919814,-0.16273835506448833,0.9159958080392512,-0.2823293057768754,-3.7944213889781198,,0.25762197135313974,,-0.4504263655659435,-0.932237000149359,0.8289814268870791,-1.1529195485089034,-0.5651905821440186,0.5935076149848907,-1.1245307980512182,-1.0560184998474669,-0.65417745476136,-0.581295385611382,-0.5310561246139177,0.07449173334485201,1.8846956187628074,0.6062832149441555,0.23244913164253211,,-0.17501398938024432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,hit,False,True,5.108030454939969,-0.40110916930542784,,0.38029618926583014,-3.0572441120803755,-0.6564488500013523,0.8523992492448127,-0.26191376479278095,,,,,,,,,,,-0.4908705281246829,0.07101554384665035,1.71533022756512,0.6003387600266844,,,,,1.074993525989127,1.31736820220102,0.6317775062535934,,-0.25276496624536565,-0.28887826025289665,0.4224035339411274,0.5282979888267297,-0.46111440564168393,-0.5843055876617665,0.09072729269172375,-0.026598302778486196,0.17535922044201965,,,,,,,,,,,,,,,,,,,,
14,hit,False,True,5.040594609022794,,,,,,,,,,,,,,,,,,-0.5649198653347759,0.0830341194823441,1.416844648874484,0.4028328846928392,,,,,,,,,,,,,,,,,,-0.4953856587639731,-1.9936593351025682,-1.5045301338224213,0.7832878607505224,-1.2166689475606511,-1.2927599827216147,-0.7509367223755823,,-1.4628850338296993,-1.756263659971081,-0.9433526180447569,-1.0281413256333618,1.262052936832505,0.13319683003958246,-3.962042431559507,0.37453916074770466,0.19065900875311467,0.4145373999209582,0.11508314522949294,
15,hit,False,True,5.253925705991277,0.24923378874631877,0.3732464317730743,0.6892994758460265,-3.0780254520498627,0.11425428822351334,0.9495003296408151,0.360085016579331,,,,,,,,,,,-0.7954414648604733,0.08288457675075353,1.616017599607197,0.6047213502420055,,,,1.3197222980119232,0.700555779867219,1.2313948288710923,1.5049409607483,,-0.6037380365194774,-0.3097608730702812,1.124280889758472,,-0.4497439725504434,-0.48136994619933954,0.21274996917401753,-0.364846857997028,-0.04051084850509395,,,,,,,,,,,,,,,,,,,,
16,hit,False,True,5.500400190155024,0.18482323969113554,0.3128168368714489,0.13996443659197685,-2.479987206634825,0.19169261332174165,0.7004402669620929,0.16119930316690348,,,,,,,,,,,-0.4430476165112051,0.09129337563097176,1.7625074116615072,0.5328837911553568,,,,2.0516507453991193,1.4661068291666,-0.32482837083333616,1.957168260934483,1.9492177190618616,-0.3586279603393097,-0.39836899359951067,1.2110246251829673,0.6512903213431857,-0.3907279403835746,-0.42995149240491365,-0.3876610993660223,0.19574772506865035,0.5812957257568218,,,,,,,,,,,,,,,,,,,,
17,hit,False,True,4.555581821660983,-0.04846240788572527,-0.6680009934878709,-0.009354574019790228,-2.660846328068929,-0.34462313414174167,0.33743593233186275,-0.24457072142257516,,,,,,,,,,,-0.713543447994514,0.12963454213270575,1.7493207430615851,0.6364522425540764,,,,,,,,,,,,,,,,,,0.350032869231122,-0.6347828169692776,1.5096929838424356,1.093634689564812,-1.4392331347807503,-1.688097164124652,0.40455351075033724,-0.5064389564811925,-1.4201895890290779,-1.3481205663740186,-1.4162561316572853,-0.12326499802223735,,,,,,,,0.07674130794645527
18,hit,False,True,5.282907133133634,0.25717398007367237,-0.025222043376841915,0.28503312723309127,-1.6740038902166914,-0.19930991973373505,0.6039851281753426,-0.047017445518516686,,,,,,,,,,,-0.6153611625431938,0.11579293642850774,1.9429352963386677,0.6233762891494244,,,,,,,,,,,,,,,,,,0.38130544522186915,0.3936642442504623,-0.7500432249930042,,-1.3576042306281284,-1.261120948527415,0.7007963647692708,-0.27996057215090775,-1.332471660426717,-1.2820919922891698,-0.9294590367155406,-0.5336466723620228,,,,,,,,
19,hit,False,True,5.496255509543533,,,,,,,,,,,,,,,,,,-0.8129197562744364,0.04799031013202727,1.618135371251001,0.5581581737770085,,,,,1.179874189734521,1.2501924013683368,-0.9778406901860401,,-0.3829050710899003,0.07225315284674923,1.7900717284002625,,0.29073188281965445,-0.04711499534449253,0.45410176970299515,,0.2144528269612923,,,,,,,,,,,,,-0.3208620985209625,0.19816939395577182,-2.7296935767194435,,,0.7442994339071398,-0.2480217401886814,
20,hit,False,True,5.496761362982418,-0.8983822413103247,-1.425508456386377,-0.807030021931035,-4.709322417059164,-0.7128571351796156,-0.4744602590998271,-0.7838624197348422,,,,,,,,,,,-0.7677579016775199,0.051932498293387246,1.6651222094488458,0.5564378931406205,-0.4437427535918877,,,,,,,,,,,,,,,,,0.5334331876744932,,-1.2516966886326641,0.6886164451314389,-1.1670330232745607,-1.2832699844195885,0.15940001419856453,-0.3063520907579132,-1.2135491166760615,-1.2006989241341377,-1.1122564243562796,-0.7591012742959586,,,,,,,,-0.5344489106495303
21,hit,False,True,5.467886649679331,-0.010113498803924321,-0.4067701031757158,0.23158690495208936,-2.4093541842177433,-0.8820256030274134,0.5331200934747419,-0.38098510011015635,,,,,,,,,,,-0.5587029119859215,0.08587199169708318,1.800267234664471,0.6026815487412144,0.38976026829838256,,,,,,,,,,,,,,,,,0.24620250087936135,-0.5547226991537421,0.3441329734361017,0.7328294263663236,-1.4493119829230106,-1.319476812731072,0.054372554124737044,-0.4122135362680423,-1.3449186375701812,-1.4214912416201502,-1.2282070969750727,,,,,,,,,
22,hit,False,True,5.203262331184735,0.5178696939425249,0.8967345283737792,0.009289474088564387,-3.54316733406525,,0.5738415437081303,-0.5480177404546144,,,,,,,,,,,-0.779996942318801,0.07942359711531767,1.8090547614801173,0.6031567112588906,0.12793782382572336,,,,,,,,,,,,,,,,,0.5564370277068595,-0.623100285882229,-0.3345509355210152,0.44795027502778834,-1.2527002384470203,-1.1017739538383329,-0.20630468785462336,-0.21797303210668595,-1.222219294064563,-1.0779950189603629,-1.0342119189974555,,,,,,,,,-0.3143566138042213
23,hit,False,True,5.387499491778768,0.19166350357742787,-0.4602020190453362,0.24054460659132576,-2.744925707626045,0.08560689534944328,0.6717767762242798,0.17910270387186597,,,,,,,,,,,-0.6093764907614618,0.07185814057976882,1.8284357044250201,0.4994750792765397,0.13896682645780614,,,2.0823619390532646,1.4173766594063275,,1.09766638083935,,-0.19000591972111916,-0.21170290726689056,0.9929229800979101,,0.20778387152121433,0.21776413548048698,0.2427746642495816,0.011158634588612548,,,,,,,,,,,,,,,,,,,,,
24,hit,False,True,5.930957023782889,-0.0702466450001518,,0.022679196396919746,-3.7273012111886805,-0.034663588697960074,0.33083972605795225,-0.03903991737176881,,,,,,,,,,,-0.6688353467356727,0.08298285273267945,1.5021963857722234,0.5450264889388429,0.08310223772183549,,,,,,,,,,,,,,,,,-0.2643337582188513,-1.4904068179028143,0.4823244321832945,,-1.125514190434256,-0.9742672512446455,0.3569972212335425,-0.4093613006162872,-0.9182322037444524,-1.1250271537126686,-0.6515377945895852,-0.584650798693622,,,,,,,,-0.5634335617528389
25,hit,False,True,5.315916781324295,-0.22339567009353653,-0.3513163296761948,0.005011583951212328,-3.3748197864489,-0.15262405631889917,0.28801564947918584,-0.11875280441118831,,,,,,,,,,,-0.7525255438425436,0.1401671805375521,1.7607457566227935,0.5496505778741255,,,,1.8250448167706972,1.566869476706194,0.43299831559646207,-0.5236544366951137,1.5789328961278424,-0.2336345092255382,-0.23535016451774202,1.2114435153520873,0.7124959166692361,-0.2271475636579872,-0.36157650414111536,0.04790672555693859,,,,,,,,,,,,,,,,,,,,,,
26,hit,False,True,4.937392615141441,0.22093200342032424,-0.5290705922523874,0.18588673974244316,-2.9319295103378717,0.07023973023915275,0.5015482625509194,0.15057377914221856,-1.3049523898752005,-0.4408903125590785,1.0191165357460776,-1.7519924550628196,-1.28042007284283,-0.379157439392548,-1.1694118723088536,-1.1587407738581865,-1.059113497802568,-0.4867018021253314,-0.6766216755496107,0.1065929658252275,1.7519815175004594,0.49756356073202507,,,-0.42474824814499107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,hit,False,True,5.848621012069114,-0.5240424347453979,0.14202190968994316,-0.2910661608795673,-2.795965596125563,-0.6479741244476018,0.1425684157356661,-0.4697868991764343,,,,,,,,,,,-0.623210068401361,0.0881998852725912,1.4258548308760826,0.5885565415890657,-0.12205309428742873,,,1.5616598272481939,0.8333500698175221,1.1571504795248353,1.5564456321139593,,-0.6272058386749029,-0.2016490601773905,0.6842546058016415,,0.0025354803058747636,-0.3061270974103525,0.5746655272963159,-0.2403686700341117,0.029705803682264987,,,,,,,,,,,,,,,,,,,,
28,hit,False,True,6.408634645127322,0.07811159358571615,-1.0354918306942573,0.00034702683351278907,-3.8805525360955264,0.1707613816796774,0.42102272206565383,0.09231439623788322,,,,,,,,,,,-0.45759728565309465,0.07023091767715778,1.3884792299354647,0.4522941515018392,-0.23388772253511114,,,2.007650863757744,1.243760753215975,0.6953790096536828,1.0507486522592122,1.447892698617428,-0.38701160196689943,0.1852353610089769,0.9419063015108005,,0.16154831215371274,0.01346689297670702,0.1576281854615007,-0.40554232487687425,-0.19094842577378093,,,,,,,,,,,,,,,,,,,,
29,hit,False,True,5.309596433428958,-0.49124168545372005,-0.29411594360559545,-0.2635033388600681,-2.9752366746008114,-0.45941224116389995,-0.16592531617187942,-0.4051829005839912,,,,,,,,,,,-0.7482263390032728,0.08037312163489352,1.8741491182917216,0.5576423027044095,0.17497269257155415,,,1.8328370395100992,1.4652880314736407,-0.4105683502034734,0.12042990507595162,,-0.19663684641529067,-0.8394801666430006,1.291127039414906,0.44214175160458347,-0.14692243321054171,-0.3937911730469168,-0.5938542761503339,,0.31098803268409175,,,,,,,,,,,,,,,,,,,,
